paper_ndcg@3,paper_mrr@3,paper_recall@3,paper_precision@3,dataset_ndcg@3,dataset_mrr@3,dataset_recall@3,dataset_precision@3,overall_ndcg@3,overall_mrr@3,overall_recall@3,overall_precision@3,paper_ndcg@5,paper_mrr@5,paper_recall@5,paper_precision@5,dataset_ndcg@5,dataset_mrr@5,dataset_recall@5,dataset_precision@5,overall_ndcg@5,overall_mrr@5,overall_recall@5,overall_precision@5,num_predicted_papers,num_predicted_datasets,num_relevant_papers,num_relevant_datasets,test_case_index,dataset_id,category,input_title,processing_time_ms
1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.6666666666666666,1.0,1.0,0.6666666666666666,0.4,1.0,1.0,1.0,0.6,1.0,1.0,0.3333333333333333,0.4,5,5,3,3,0,c1f03ab868f32371ec97a650bcdf39ac,국내,한반도 기상 관측 데이터 세트,34698
1.0,1.0,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.6,1.0,1.0,0.5714285714285714,0.8,5,5,4,3,1,8d498db96633f07fe1d82ebe43daaf45,국내,Landsat-5/-7/-8 및 Sentinel-2 광학 위성 영상을 활용한 천지호 GeoAI 데이터셋,40159
1.0,1.0,0.2,0.3333333333333333,0.9502344167898356,1.0,1.0,0.6666666666666666,1.0,1.0,0.14285714285714285,0.3333333333333333,1.0,1.0,0.2,0.25,0.9502344167898356,1.0,1.0,0.4,0.8503449055347546,1.0,0.2857142857142857,0.4,4,5,5,2,2,c3ad2f8c1cf9e107a3f68b6972b64ad5,국내,이동형 도시환경 센싱 데이터 셋,34356
0.0,0.0,0.0,0.0,1.0,1.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,5,4,5,3,000e4340354d8219bdb3af6a7ad4800d,국내,이동형 도시환경 센서 및 도로영상 데이터 셋,34716
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.6,1.0,1.0,0.5,0.6,5,5,3,3,4,33da0205f56477ba41dec7d7db3258a6,국내,Dataset for Intervention strategies against COVID-19 and their estimated impact on Swedish healthcare capacity,34301
0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,3,4,3,5,bee3162957beecc87a91c94803d23439,국내,해양 관측 CCTV 타임스탬프 이미지 데이터셋 (2023년 8월),27027
1.0,1.0,0.75,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.375,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,1.0,1.0,0.5,0.8,5,5,4,4,6,c592e36ae62d104b21183d9f498d918f,국내,필리핀해 해양-대기 감시부이 자료 1(2020년),28630
1.0,1.0,0.75,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.8,0.9777242507697853,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.8,5,5,4,5,7,a59a0a7d0c894a81a2936833b0790e0a,국내,의료영상데이터,34559
1.0,1.0,0.75,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.4444444444444444,0.8,5,5,4,5,8,4fc87916027f5568850d33ecd2f7680f,국내,한국인 정상인 심전도 세부파형 ,34516
1.0,1.0,0.75,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.42857142857142855,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,0.5714285714285714,0.8,5,4,4,3,9,c05286c716d93ea28c6fd08f28b17b6a,국내,돌발홍수 알람 분석,30344
1.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,0.0,1.0,1.0,0.2222222222222222,0.6666666666666666,1.0,1.0,0.5,0.4,0.0,0.0,0.0,0.0,1.0,1.0,0.2222222222222222,0.4,5,5,4,5,10,e876ffe4cad991d4f4930284468df093,국내,2024 극한기후영향 보고서,31393
1.0,1.0,0.75,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,0.8,1.0,1.0,0.8,1.0,1.0,1.0,0.4444444444444444,0.8,5,4,4,5,11,03e16fe2b6d96d4961f22c244a94bb1a,해외,NSW COVID-19 tests by location (discontinued),33177
1.0,1.0,0.6,1.0,1.0,1.0,0.5,0.6666666666666666,1.0,1.0,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,0.9815720279306078,1.0,0.75,0.6,1.0,1.0,0.5555555555555556,1.0,5,5,5,4,12,b89d0c5d5891c5c80cd7a565ce8a3dc6,해외,Police recorded crime trends in Victoria during the COVID-19 pandemic,32764
